Warning: All of online environments libraries in D4RL have been moved ]8;;https://github.com/Farama-Foundation/Gymnasium\Gymnasium]8;;\, ]8;;https://github.com/Farama-Foundation/MiniGrid\MiniGrid]8;;\ and ]8;;https://github.com/Farama-Foundation/Gymnasium-Robotics\Gymnasium-Robotics]8;;\, and all offline datasets in D4RL have been moved to ]8;;https://github.com/Farama-Foundation/Minari\Minari]8;;\.
These new versions include large bug fixes, new versions of Python, and are where all new development will continue. Please upgrade these libraries as soon as you're able to do so.
If you'd like to read more about the story behind this switch, please check out ]8;;https://farama.org/Announcing-Minari\this blog post]8;;\.
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/opt/venv/lib/python3.10/site-packages/Cython/Distutils/old_build_ext.py:15: DeprecationWarning: dep_util is Deprecated. Use functions from setuptools instead.
  from distutils.dep_util import newer, newer_group
<frozen importlib._bootstrap>:283: DeprecationWarning: the load_module() method is deprecated and slated for removal in Python 3.12; use exec_module() instead
pybullet build time: Jan 29 2025 23:16:28
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: wsk208 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
/opt/venv/lib/python3.10/site-packages/wandb/analytics/sentry.py:268: DeprecationWarning: Read the `app_url` setting from the appropriate Settings object.
  app_url = wandb.util.app_url(tags["base_url"])  # type: ignore[index]
/opt/venv/lib/python3.10/site-packages/wandb/analytics/sentry.py:279: DeprecationWarning: The `Scope.user` setter is deprecated in favor of `Scope.set_user()`.
  self.scope.user = {"email": email}
wandb: setting up run 55d3bj4z
/opt/venv/lib/python3.10/site-packages/wandb/analytics/sentry.py:268: DeprecationWarning: Read the `app_url` setting from the appropriate Settings object.
  app_url = wandb.util.app_url(tags["base_url"])  # type: ignore[index]
/opt/venv/lib/python3.10/site-packages/wandb/analytics/sentry.py:279: DeprecationWarning: The `Scope.user` setter is deprecated in favor of `Scope.set_user()`.
  self.scope.user = {"email": email}
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /app/wandb/run-20260319_003451-55d3bj4z
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run bdemodice_halfcheetah_M2_s4
wandb: ⭐️ View project at https://wandb.ai/wsk208/DemoDICE
wandb: 🚀 View run at https://wandb.ai/wsk208/DemoDICE/runs/55d3bj4z
/opt/venv/lib/python3.10/site-packages/gym/spaces/box.py:84: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
load datafile:   0%|          | 0/21 [00:00<?, ?it/s]load datafile:   5%|▍         | 1/21 [00:00<00:03,  5.91it/s]load datafile:  14%|█▍        | 3/21 [00:00<00:03,  5.27it/s]load datafile:  19%|█▉        | 4/21 [00:00<00:04,  3.99it/s]load datafile:  81%|████████  | 17/21 [00:01<00:00, 15.50it/s]load datafile:  90%|█████████ | 19/21 [00:01<00:00, 10.82it/s]load datafile: 100%|██████████| 21/21 [00:01<00:00, 11.19it/s]
Expert  :  999000 transitions  (halfcheetah-expert-v2, 400 traj)
load datafile:   0%|          | 0/9 [00:00<?, ?it/s]load datafile:  11%|█         | 1/9 [00:00<00:01,  5.93it/s]load datafile:  33%|███▎      | 3/9 [00:00<00:01,  5.47it/s]load datafile:  44%|████▍     | 4/9 [00:00<00:01,  4.08it/s]load datafile:  56%|█████▌    | 5/9 [00:01<00:01,  3.14it/s]load datafile:  67%|██████▋   | 6/9 [00:01<00:01,  2.76it/s]load datafile: 100%|██████████| 9/9 [00:01<00:00,  4.85it/s]
Imperfect:  999000 transitions  (halfcheetah-random-v2, 400 traj)
Union   : 1998000 transitions total
/root/.local/share/uv/python/cpython-3.10-linux-x86_64-gnu/lib/python3.10/multiprocessing/popen_fork.py:66: RuntimeWarning: os.fork() was called. os.fork() is incompatible with multithreaded code, and JAX is multithreaded, so this will likely lead to a deadlock.
  self.pid = os.fork()
/opt/venv/lib/python3.10/site-packages/tensorflow_probability/python/internal/backend/jax/ops.py:681: DeprecationWarning: jax.interpreters.xla.pytype_aval_mappings is deprecated.
  jax.interpreters.xla.pytype_aval_mappings[onp.ndarray])
/opt/venv/lib/python3.10/site-packages/gym/spaces/box.py:84: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  logger.warn(f"Box bound precision lowered by casting to {self.dtype}")
Step:    10000  |  score: 2.20 ± 0.01  |  actor_loss: 3.2503  cost_loss: 0.9427  q_loss: 4.6416  reward_max: 1.1771  reward_mean: -1.9145  reward_min: -6.4338  value_loss: -8.0827
Step:    20000  |  score: 2.15 ± 0.01  |  actor_loss: 3.0364  cost_loss: 1.0027  q_loss: 2.3938  reward_max: 2.9437  reward_mean: -1.7204  reward_min: -6.3370  value_loss: 6.3604
Step:    30000  |  score: 1.98 ± 0.03  |  actor_loss: 1.5156  cost_loss: 0.9876  q_loss: 2.7783  reward_max: 0.9258  reward_mean: -1.8203  reward_min: -6.5315  value_loss: 17.0196
Step:    40000  |  score: 4.96 ± 3.57  |  actor_loss: 7.9136  cost_loss: 0.9528  q_loss: 5.0813  reward_max: 1.0443  reward_mean: -2.0006  reward_min: -6.3882  value_loss: 2216.4036
Step:    50000  |  score: 2.16 ± 0.01  |  actor_loss: 93.8387  cost_loss: 0.9761  q_loss: 20.5907  reward_max: 1.1194  reward_mean: -1.9199  reward_min: -6.4469  value_loss: 13730020589568.0000
Step:    60000  |  score: 2.14 ± 0.01  |  actor_loss: 96.5569  cost_loss: 0.9203  q_loss: 19.2281  reward_max: 0.9358  reward_mean: -2.1442  reward_min: -6.6060  value_loss: 66839462176358400.0000
Step:    70000  |  score: 2.10 ± 0.02  |  actor_loss: 94.6610  cost_loss: 0.9759  q_loss: 14.6427  reward_max: 1.1156  reward_mean: -1.9896  reward_min: -6.5751  value_loss: 1614334996250624.0000
Step:    80000  |  score: 2.09 ± 0.03  |  actor_loss: 95.3209  cost_loss: 0.9755  q_loss: 15.4927  reward_max: 2.0358  reward_mean: -1.9163  reward_min: -6.6457  value_loss: 24002502328320.0000
Step:    90000  |  score: 2.09 ± 0.03  |  actor_loss: 88.4817  cost_loss: 1.0022  q_loss: 13.6174  reward_max: 1.0873  reward_mean: -1.8571  reward_min: -6.6372  value_loss: 14047057761271808.0000
Step:   100000  |  score: 2.07 ± 0.03  |  actor_loss: 104.4836  cost_loss: 0.9835  q_loss: 13.8636  reward_max: 1.8047  reward_mean: -1.9307  reward_min: -6.6094  value_loss: 19376715595776.0000
Step:   110000  |  score: 2.41 ± 0.89  |  actor_loss: 100.6569  cost_loss: 0.9558  q_loss: 13.4520  reward_max: 1.0053  reward_mean: -2.0738  reward_min: -6.5083  value_loss: 5711157063057408.0000
Step:   120000  |  score: 2.38 ± 0.75  |  actor_loss: 108.4829  cost_loss: 1.0116  q_loss: 11.8165  reward_max: 0.9479  reward_mean: -1.7955  reward_min: -6.6604  value_loss: 1046869958459392.0000
Step:   130000  |  score: 2.80 ± 1.37  |  actor_loss: 100.8784  cost_loss: 0.9542  q_loss: 11.0175  reward_max: 1.1583  reward_mean: -2.0621  reward_min: -6.5538  value_loss: 87163551088640.0000
Step:   140000  |  score: 4.93 ± 2.67  |  actor_loss: 79.9153  cost_loss: 1.0066  q_loss: 9.5289  reward_max: 0.8287  reward_mean: -1.9152  reward_min: -6.7163  value_loss: 1184193576960.0000
Step:   150000  |  score: 3.61 ± 1.67  |  actor_loss: 84.4503  cost_loss: 0.9598  q_loss: 11.7704  reward_max: 0.7907  reward_mean: -2.0785  reward_min: -6.4685  value_loss: 1805009415447773184.0000
Step:   160000  |  score: 2.49 ± 0.68  |  actor_loss: 84.9398  cost_loss: 1.0042  q_loss: 11.6842  reward_max: 1.4286  reward_mean: -1.8774  reward_min: -6.6605  value_loss: 32803771121664.0000
Step:   170000  |  score: 3.09 ± 0.98  |  actor_loss: 110.2527  cost_loss: 0.9715  q_loss: 10.8499  reward_max: 0.9394  reward_mean: -2.0648  reward_min: -6.6380  value_loss: 1254636585484288.0000
Step:   180000  |  score: 3.92 ± 1.55  |  actor_loss: 74.7545  cost_loss: 0.9600  q_loss: 9.6464  reward_max: 0.8526  reward_mean: -2.1626  reward_min: -6.7613  value_loss: 1612402191174205440.0000
Step:   190000  |  score: 6.03 ± 1.71  |  actor_loss: 91.0482  cost_loss: 1.0319  q_loss: 9.3959  reward_max: 0.8551  reward_mean: -1.8595  reward_min: -6.3612  value_loss: 13214141196009472.0000
Step:   200000  |  score: 3.26 ± 1.47  |  actor_loss: 83.9602  cost_loss: 1.0027  q_loss: 9.5047  reward_max: 0.7688  reward_mean: -1.9826  reward_min: -6.7246  value_loss: 17190337118208.0000
Step:   210000  |  score: 2.52 ± 0.60  |  actor_loss: 88.1473  cost_loss: 0.9656  q_loss: 10.8845  reward_max: 0.9654  reward_mean: -2.2217  reward_min: -6.5822  value_loss: 10360765714268160.0000
Step:   220000  |  score: 7.17 ± 4.34  |  actor_loss: 87.9922  cost_loss: 0.9757  q_loss: 9.4503  reward_max: 0.7855  reward_mean: -2.0765  reward_min: -6.4417  value_loss: 42307831201792.0000
